iter	RMSE
0	14.09846246
1	13.21623011
2	12.42026948
3	11.7596882
4	11.14622948
5	10.58140578
6	10.09665218
7	9.66864156
8	9.303064839
9	8.911117952
10	8.561291693
11	8.212204794
12	7.961845899
13	7.682289621
14	7.47831231
15	7.304143437
16	7.087427597
17	6.931844329
18	6.796086011
19	6.65985418
20	6.544851643
21	6.4420582
22	6.365807366
23	6.290244062
24	6.210953652
25	6.155470253
26	6.097302023
27	6.030262161
28	5.984311402
29	5.937953378
30	5.899235142
31	5.853852388
32	5.802179562
33	5.764746339
34	5.730669773
35	5.705354279
36	5.681924698
37	5.663169444
38	5.632715272
39	5.616264714
40	5.597612962
41	5.585462097
42	5.556815967
43	5.541184294
44	5.521749429
45	5.505014588
46	5.48925901
47	5.479729445
48	5.469450123
49	5.451670773
50	5.442399038
51	5.43082819
52	5.417336569
53	5.404211344
54	5.393668949
55	5.385844423
56	5.376918014
57	5.367292884
58	5.362790219
59	5.354939432
60	5.348837151
61	5.342083519
62	5.335003391
63	5.325551689
64	5.317182193
65	5.310220879
66	5.306737727
67	5.29831931
68	5.285638959
69	5.279045445
70	5.274077318
71	5.266580706
72	5.257048277
73	5.247720555
74	5.242198704
75	5.237204533
76	5.228415598
77	5.218298146
78	5.204820868
79	5.200016407
80	5.194237447
81	5.188336119
82	5.179258664
83	5.173766392
84	5.162117205
85	5.156777453
86	5.153617454
87	5.147989714
88	5.140937599
89	5.137996557
90	5.131187084
91	5.123947695
92	5.120444235
93	5.11782641
94	5.112640717
95	5.108547375
96	5.099606902
97	5.091302255
98	5.089109494
99	5.083133676
100	5.074858329
101	5.067282266
102	5.064056464
103	5.0571535
104	5.05427914
105	5.044436563
106	5.040318171
107	5.035075479
108	5.028817118
109	5.02263187
110	5.016749315
111	5.006999033
112	5.001870629
113	4.993525739
114	4.987463107
115	4.983944286
116	4.975164717
117	4.971487159
118	4.961068043
119	4.954927031
120	4.951556862
121	4.944914998
122	4.942582115
123	4.936499556
124	4.933925208
125	4.925080676
126	4.918903697
127	4.914825223
128	4.909361795
129	4.906602258
130	4.897443234
131	4.886927868
132	4.886181574
133	4.883724997
134	4.87677793
135	4.873298441
136	4.864658283
137	4.857260366
138	4.849187292
139	4.846967802
140	4.844268538
141	4.837621867
142	4.831900644
143	4.825229481
144	4.813074079
145	4.806251939
146	4.805640367
147	4.801027946
148	4.799003782
149	4.791724379
150	4.788215255
151	4.785608556
152	4.782192088
153	4.777385887
154	4.775128243
155	4.773272493
156	4.767075941
157	4.765564417
158	4.759893999
159	4.752838749
160	4.742277186
161	4.737849749
162	4.732670322
163	4.73027208
164	4.725924718
165	4.719646241
166	4.717028286
167	4.713268221
168	4.708909621
169	4.705344511
170	4.703388068
171	4.694966312
172	4.689263605
173	4.68604339
174	4.680863957
175	4.677234026
176	4.67067688
177	4.660420463
178	4.659972775
179	4.654862375
180	4.650902979
181	4.648127366
182	4.646031481
183	4.643789792
184	4.638770687
185	4.63367738
186	4.631130554
187	4.627505276
188	4.625849605
189	4.620439597
190	4.616809889
191	4.614729437
192	4.610168447
193	4.603473918
194	4.596932819
195	4.592374211
196	4.589423799
197	4.583245191
198	4.570125767
199	4.567980765
